Programação,DUV,Berço,Embarcação,IMO,LOA,DWT,Sentido,Agência,Operador,Mercadoria,ETA,Janela Operacional,Prancha (t/dia),Previsto,Cal. Cheg.,Cal. Saída,Unnamed: 18_level_1,Unnamed: 19_level_1,Unnamed: 20_level_1,Unnamed: 21_level_1
75306,14362025.0,216,IRENES WISDOM,9953391,18597,"38.605,00",Imp/Exp,ROCHAMAR,TCP (SAT),CONTÊINERES (CONTENTORES) INCL,24/02/2025 12:00,,,1.050 Movs.,1200,1000,,,,
75303,14122025.0,218,NC BRUMA,9612777,22391,"48.038,00",Imp/Exp,ROCHAMAR,TCP (NBN),CONTÊINERES (CONTENTORES) INCL,20/02/2025 12:00,,,1.050 Movs.,1200,1000,,,,
75366,,200,BBC URANUS,9947768,17990,"40.297,01",Imp,ROCHAMAR,FOSPAR,FERTILIZ.MINER.QUIM.C/NITROGEN,19/02/2025 08:00,,,"9.900,000 Tons.",900,780,,,,
75344,,143,UACC SHAMIYA,9458858,18300,"45.479,00",Imp,CARGONAVE,CATTALINI,OUTROS OLEOS DE DENDE,18/02/2025 19:00,,,"13.000,000 Tons.",1000,1217,,,,
67720,,205,VASCO DA GAMA,8919245,21914,"6.807,00",Imp/Exp,STAR SHIP AGENCIA MARITIMA,APPA,PASSAGEIROS,18/02/2025 08:00,,,"0,000 Tons.",780,780,,,,
75299,14182025.0,216,MONA LISA,9309277,23090,"42.102,00",Imp/Exp,ROCHAMAR,TCP (SAT),CONTÊINERES (CONTENTORES) INCL,17/02/2025 12:00,,,1.050 Movs.,1200,1000,,,,
75288,13232025.0,209,C HUNNA,9476965,19998,"61.683,00",Imp,ROCHAMAR,ROCHA TERMINAIS PORTUARIOS E LOGISTICA S.A.,UREIA,16/02/2025 10:00,,,"27.500,000 Tons.",1000,820,,,,
75233,,202,STAR LOUISIANA,9593880,20435,"50.720,00",Exp,SEATRADE SERVICOS PORTUARIOS E LOGISTICOS,ROCHA TERMINAIS PORTUARIOS E LOGISTICA S.A.,PASTA QUIM.MADEIRA DE N/CONIF.,15/02/2025 08:00,,,"5.000,000 Tons.",900,1070,,,,
75297,13892025.0,215,DALIAN EXPRESS,9229829,32058,"100.006,00",Imp/Exp,ROCHAMAR,TCP (GS1),CONTÊINERES (CONTENTORES) INCL,14/02/2025 12:00,,,1.050 Movs.,1200,1000,,,,
75092,558942024.0,215,NC BRAVO,9612791,22391,"48.044,00",Imp/Exp,ROCHAMAR,TCP (NCO),CONTÊINERES (CONTENTORES) INCL,13/02/2025 19:00,,,1.050 Movs.,1200,1000,,,,
75283,11462025.0,202,TOKI ARROW,9434539,19998,"62.942,00",Exp,SEATRADE SERVICOS PORTUARIOS E LOGISTICOS,ROCHA TERMINAIS PORTUARIOS E LOGISTICA S.A.,PASTA QUIM.MADEIRA DE N/CONIF.,13/02/2025 13:00,,,"22.500,000 Tons.",900,1070,,,,
75394,,143,CL FUGOU,9732931,18300,"49.709,00",Exp,CARGONAVE,CATTALINI,OLEO DE SOJA,13/02/2025 10:00,,,"10.000,000 Tons.",700,1310,,,,
75296,14062025.0,218,SALVADOR EXPRESS,9793894,33000,"132.736,00",Imp/Exp,ROCHAMAR,TCP (AS2),CONTÊINERES (CONTENTORES) INCL,12/02/2025 12:00,,,1.050 Movs.,1200,1000,,,,
75403,,212,WEN ZHU HAI,9488475,22500,"76.611,00",Exp,WILSON SONS,TIBAGI,FARELO DE SOJA,12/02/2025 07:00,,,"57.800,000 Tons.",850,1310,,,,
